"accidents","victims"
11070,591
10414,478
12248,527
12928,558
15314,600
15641,709
16233,855
13391,745
14813,697
14416,691
12729,633
11917,601
11544,590
10698,451
11989,513
12775,574
13420,491
15101,620
16063,769
12911,729
14155,614
14783,662
13210,596
12402,575
8598,361
9556,401
11842,477
12903,531
14332,588
15529,672
16303,716
13354,779
15404,704
15340,719
12482,581
12143,601
11087,525
9325,401
11856,541
12515,472
15670,656
14888,633
14881,770
12891,712
13730,648
14315,602
12539,554
11730,562
10057,427
9942,375
11702,447
13022,523
14436,557
15146,623
16094,714
12549,686
14311,625
14653,625
13947,604
12349,578
12224,528
12241,512
13388,515
13854,604
15146,565
16352,692
16159,693
12095,625
13538,578
14811,561
13405,516
12820,550
11070,468
10414,490
12248,502
12928,471
15314,489
15641,548
16233,621
13391,627
14813,558
14416,555
12729,520
11917,561
11887,462
11755,463
13899,564
12637,545
15055,551
15172,562
15479,677
12201,584
13889,613
14474,591
13331,578
12003,522
11997,527
10662,410
13899,606
14458,571
15307,555
16721,800
17283,785
13861,692
14999,716
15060,694
13633,595
12822,547
11624,517
11874,444
13943,530
14037,577
15551,672
16224,715
16217,745
13950,710
15131,620
14826,645
13885,626
13552,633
9934,443
9950,450
11377,457
12742,502
14039,541
14373,622
15011,709
12904,693
13504,574
13412,556
13120,554
13027,544
12643,520
11557,438
13508,514
14092,547
15126,526
16370,579
16065,679
12865,579
14814,575
15752,566
14184,489
13703,566
12856,512
11990,425
14132,486
14427,524
15658,511
17283,621
17182,639
14532,545
16230,557
17280,571
16673,621
14518,500
13666,487
12694,413
13498,390
14841,498
16163,524
17217,625
18073,642
15138,574
16271,544
16501,530
15829,511
13524,482
12432,426
11677,366
15234,482
16567,531
17274,498
17862,612
18310,654
15078,545
16939,545
17896,553
16538,531
14224,483
