ncores;expl_var;k_max;T;m;MC;A;I
1;0.6;3;32;32;2.43;1.28;0.83
2;0.6;3;32;32;1.08;1.18;1.09
4;0.6;3;32;32;1.78;1.87;1.78
1;0.8;3;32;32;0.75;0.99;0.77
2;0.8;3;32;32;1.06;1.28;1.11
4;0.8;3;32;32;1.8;1.95;1.77
1;0.95;3;32;32;0.72;1.14;0.85
2;0.95;3;32;32;1.05;1.36;1.12
4;0.95;3;32;32;1.75;1.97;1.85
1;0.6;7;32;32;0.83;1.7;1.21
2;0.6;7;32;32;1.11;1.69;1.46
4;0.6;7;32;32;1.79;2.36;2.24
1;0.8;7;32;32;0.8;2.34;1.37
2;0.8;7;32;32;1.09;1.98;1.41
4;0.8;7;32;32;1.81;2.86;2.36
1;0.95;7;32;32;0.8;3.16;1.66
2;0.95;7;32;32;1.09;2.33;1.68
4;0.95;7;32;32;1.78;2.95;2.28
1;0.6;10;32;32;0.89;3.15;1.77
2;0.6;10;32;32;1.19;2.63;1.71
4;0.6;10;32;32;1.81;2.74;2.37
1;0.8;10;32;32;0.9;4.33;1.7
2;0.8;10;32;32;1.16;3.08;1.74
4;0.8;10;32;32;1.98;3.31;2.3
1;0.95;10;32;32;0.93;5.11;2.49
2;0.95;10;32;32;1.17;3.81;2.27
4;0.95;10;32;32;1.93;3.86;3.06
1;0.6;3;256;32;2.05;10.92;2.23
2;0.6;3;256;32;1.81;8.26;2.14
4;0.6;3;256;32;2.45;7.29;2.8
1;0.8;3;256;32;2.06;16.66;2.21
2;0.8;3;256;32;1.81;12.29;2.18
4;0.8;3;256;32;2.5;10.47;2.89
1;0.95;3;256;32;2.06;26.83;2.19
2;0.95;3;256;32;1.8;18.5;2.08
4;0.95;3;256;32;2.5;14.65;2.67
1;0.6;7;256;32;3.19;26.2;7.37
2;0.6;7;256;32;2.44;14.41;5.23
4;0.6;7;256;32;2.58;10.44;4.64
1;0.8;7;256;32;3.14;37.77;7.37
2;0.8;7;256;32;2.51;23.4;5.03
4;0.8;7;256;32;3.25;17.33;4.59
1;0.95;7;256;32;3.23;65.72;7.41
2;0.95;7;256;32;2.47;39.61;5.11
4;0.95;7;256;32;2.61;28.42;4.97
1;0.6;10;256;32;4.29;32.86;84.44
2;0.6;10;256;32;3.01;19.68;45.83
4;0.6;10;256;32;2.98;15.5;43.94
1;0.8;10;256;32;4.28;52.49;84.39
2;0.8;10;256;32;3;30.99;45.04
